table,id,Unnamed: 0,dev_type,user_id,build_slot,dev_uname,dev_lv,gun_id,mp,ammo,mre,part,input_level,item1_num,core,dev_time,gun_rank,gun_name,file,trust_2,trust_3,trust_4,trust_5
2,41056364,33.0,2,79112,8,kyomkII,100,28,4000,4000,1000,2000,1,1,3,1654848794,5,MP7,221028-125505.json,False,False,False,False
2,41056755,34.0,2,440222,2,萌新一名,172,129,1000,4000,4000,2000,1,1,3,1654857829,5,95式,221028-125505.json,False,False,False,False
2,41062461,35.0,2,393142,4,允曦,123,245,4000,4000,1000,2000,1,1,3,1654950335,5,P90,221028-125505.json,False,False,False,False
2,41064873,36.0,2,7342,8,十日十人干,182,306,9999,9999,9000,1000,1,1,3,1654995871,5,AK-Alfa,221028-125505.json,False,False,False,False
2,41066890,37.0,2,942042,2,蔻芭雅喜,122,106,1000,4000,4000,2000,3,50,10,1655022905,5,FAL,221028-125505.json,False,False,False,False
2,41069973,38.0,2,287102,2,幽克,150,130,1000,4000,4000,2000,1,1,3,1655086848,5,97式,221028-125505.json,False,False,False,False
2,41072042,39.0,2,93132,6,凱薩奧古斯都,99,228,4000,4000,1000,2000,2,20,5,1655130812,5,一〇〇式,221028-125505.json,False,False,False,False
2,41072698,40.0,2,380212,2,Axiie,102,129,1000,4000,4000,2000,1,1,3,1655137511,5,95式,221028-125505.json,False,False,False,False
2,41073584,41.0,2,967482,2,不破爱花,41,213,4000,4000,1000,2000,1,1,3,1655163947,5,C-MS,221028-125505.json,False,False,False,False
2,41078523,42.0,2,79112,6,kyomkII,100,62,1000,4000,4000,2000,1,1,3,1655267169,5,G41,221028-125505.json,False,False,False,False
2,41090312,43.0,2,954792,2,壞掉的茶葉蛋,95,129,1000,4000,4000,2000,3,50,10,1655504955,5,95式,221028-125505.json,False,False,False,False
2,41090313,44.0,2,954792,4,壞掉的茶葉蛋,95,181,1000,4000,4000,2000,3,50,10,1655504955,5,T91,221028-125505.json,False,False,False,False
2,41092404,45.0,2,104222,2,斷翼,187,62,4000,4000,4000,2000,1,1,3,1655550802,5,G41,221028-125505.json,False,False,False,False
2,41092405,46.0,2,104222,4,斷翼,187,293,4000,4000,4000,2000,1,1,3,1655550802,5,AK-15,221028-125505.json,False,False,False,False
2,41097885,47.0,2,119862,4,影风,169,290,1000,4000,4000,2000,1,1,3,1655656906,5,89式自,221028-125505.json,False,False,False,False
2,41098442,48.0,2,974732,2,MGRD,75,287,1000,4000,4000,2000,1,1,3,1655674120,5,SIG-556,221028-125505.json,False,False,False,False
5,41146952,,2,107065,4,女王之刃,214,245,4000,4000,4000,2000,1,1,3,1655693692,5,P90,230122-223831.json,False,False,False,False
1,41827480,,2,457151,4,Kappy,204,205,4790,4790,4790,4790,2,20,5,1655712371,5,AN-94,230123-000447.json,False,False,False,False
2,41100503,49.0,2,968522,2,鳶一凜,76,228,8000,8000,1000,4000,1,1,3,1655721144,5,一〇〇式,221028-125505.json,False,False,False,False
2,41100649,50.0,2,954792,2,壞掉的茶葉蛋,96,129,1000,4000,4000,2000,3,50,10,1655723836,5,95式,221028-125505.json,False,False,False,False
2,41101637,51.0,2,6592,2,頃靜,186,287,1000,4000,4000,2000,1,1,3,1655738201,5,SIG-556,221028-125505.json,False,False,False,False
2,41101835,52.0,2,971002,2,黎明之夏,84,287,1000,4000,4000,2000,1,1,3,1655739790,5,SIG-556,221028-125505.json,False,False,False,False
2,41109335,53.0,2,979062,2,shkfk,33,135,4000,4000,1000,2000,1,1,3,1655903183,5,SR-3MP,221028-125505.json,False,False,False,False
2,41110063,54.0,2,870232,2,可愛いミク酱,147,306,1000,4000,4000,2000,2,20,5,1655911780,5,AK-Alfa,221028-125505.json,False,False,False,False
2,41122473,55.0,2,938942,2,Shirin,76,106,1000,4000,4000,2000,1,1,3,1656178268,5,FAL,221028-125505.json,False,False,False,False
2,41123490,56.0,2,104222,2,斷翼,187,228,8000,8000,1000,4000,1,1,3,1656211083,5,一〇〇式,221028-125505.json,False,False,False,False
2,41124250,57.0,2,955042,4,行人刃,80,287,1000,4000,4000,2000,1,1,3,1656228030,5,SIG-556,221028-125505.json,False,False,False,False
2,41124283,58.0,2,285852,2,楓草貓,168,290,4000,4000,4000,2000,1,1,3,1656228964,5,89式自,221028-125505.json,False,False,False,False
2,41126244,59.0,2,962132,2,天天玩槍槍,94,172,1000,4000,4000,2000,2,20,5,1656264052,5,RFB,221028-125505.json,False,False,False,False
2,41128458,60.0,2,9652,4,霜楓釉玥,88,205,1000,4000,4000,5000,1,1,3,1656319107,5,AN-94,221028-125505.json,False,False,False,False
1,41858715,,2,685391,2,藍光水晶,95,205,1000,4000,4000,2000,1,1,3,1656338030,5,AN-94,230123-000447.json,False,False,False,False
2,41132310,61.0,2,300752,4,夜鈴貓,193,62,6000,6000,6000,4000,1,1,3,1656404322,5,G41,221028-125505.json,False,False,False,False
2,41133205,62.0,2,161352,4,奧斯裕太,61,306,6000,6000,6000,4000,1,1,3,1656424014,5,AK-Alfa,221028-125505.json,False,False,False,False
3,42247352,,2,281603,2,莖莖樂到,102,213,8000,8000,1000,4100,1,1,3,1656468885,5,C-MS,230123-000447.json,False,False,False,False
2,41135292,63.0,2,870232,4,可愛いミク酱,147,129,1000,4000,4000,2000,2,20,5,1656470125,5,95式,221028-125505.json,False,False,False,False
3,42248566,,2,14003,2,希格,148,213,9999,9999,9999,9999,1,1,3,1656498065,5,C-MS,230123-000447.json,False,False,False,False
5,41188864,,2,779665,2,懸舞不是玄武,53,206,6000,6000,6000,4000,1,1,3,1656527786,5,AK-12,230122-223831.json,False,False,False,False
2,41146127,64.0,2,887822,4,guh563,81,228,8000,8000,1000,4000,1,1,3,1656723074,5,一〇〇式,221028-125505.json,False,False,False,False
2,41146463,65.0,2,285852,2,楓草貓,168,213,9999,4000,4000,2000,1,1,3,1656731672,5,C-MS,221028-125505.json,False,False,False,False
2,41147934,66.0,2,887822,4,guh563,82,245,4000,4000,1000,2000,1,1,3,1656765401,5,P90,221028-125505.json,False,False,False,False
2,41150771,67.0,2,969652,2,天梦羽洛,62,130,1000,4000,4000,2000,1,1,3,1656831309,5,97式,221028-125505.json,False,False,False,False
2,41151241,68.0,2,887822,2,guh563,82,228,4000,4000,1000,2000,1,1,3,1656843317,5,一〇〇式,221028-125505.json,False,False,False,False
2,41155454,69.0,2,954792,4,壞掉的茶葉蛋,99,287,1000,4000,4000,2000,1,1,3,1656938704,5,SIG-556,221028-125505.json,False,False,False,False
2,41157170,70.0,2,296682,4,無噬魂,124,347,4000,7000,2000,1000,1,1,3,1656972903,5,SR-2,221028-125505.json,False,False,False,False
5,41211219,,2,596195,2,hidoyo,104,206,1000,4000,4000,2000,1,1,3,1657021991,5,AK-12,230122-223831.json,False,False,False,False
2,41160398,71.0,2,300752,2,夜鈴貓,193,135,4000,4000,1000,2000,1,1,3,1657042479,5,SR-3MP,221028-125505.json,False,False,False,False
2,41165181,72.0,2,887822,2,guh563,82,228,4000,4000,1000,2000,1,1,3,1657166115,5,一〇〇式,221028-125505.json,False,False,False,False
2,41169455,73.0,2,979952,2,Autokrator,79,347,9999,9000,9000,9999,1,1,3,1657272786,5,SR-2,221028-125505.json,False,False,False,False
2,41174841,74.0,2,947052,2,AdmiralBorg,89,245,4000,4000,1000,2000,1,1,3,1657382529,5,P90,221028-125505.json,False,False,False,False
2,41177908,75.0,2,223332,2,jjkang,118,28,4000,4000,1000,2000,1,1,3,1657460112,5,MP7,221028-125505.json,False,False,False,False
2,41181749,76.0,2,379932,2,優理,90,104,8000,4000,2000,1000,1,1,3,1657547013,5,G36C,221028-125505.json,False,False,False,False
2,41185448,77.0,2,379932,4,優理,90,245,4000,4000,1000,2000,1,1,3,1657635007,5,P90,221028-125505.json,False,False,False,False
2,41188734,78.0,2,760652,2,C十C二CC,108,290,1000,4000,4000,2000,1,1,3,1657718540,5,89式自,221028-125505.json,False,False,False,False
7,41695954,,2,41467,6,布良梓,161,245,6000,6000,6000,4000,1,1,3,1657751640,5,P90,230123-000447.json,False,False,False,False
2,41190864,79.0,2,969292,4,1SmSsTkqueen,83,287,1000,4000,4000,2000,1,1,3,1657768296,5,SIG-556,221028-125505.json,False,False,False,False
2,41192045,80.0,2,310432,2,Cerlic,105,205,4000,4000,4000,2000,1,1,3,1657803209,5,AN-94,221028-125505.json,False,False,False,False
2,41194770,81.0,2,446602,8,ArV,195,125,6000,6000,6000,4000,1,1,3,1657864576,5,MG4,221028-125505.json,False,False,False,False
2,41195932,82.0,2,489832,2,上田百合子,156,181,4000,4000,4000,4000,1,1,3,1657890579,5,T91,221028-125505.json,False,False,False,False
8,41781922,,2,145138,2,心動姆咪,137,245,6000,6000,6000,4000,3,50,10,1657899084,5,P90,230123-000447.json,False,False,False,False
2,41197315,83.0,2,492932,4,痛覚残留,192,245,9999,9999,9999,9999,3,50,10,1657901445,5,P90,221028-125505.json,False,False,False,False
2,41197826,84.0,2,76092,4,AC0630,190,135,8000,8000,8000,4000,3,50,10,1657902889,5,SR-3MP,221028-125505.json,False,False,False,False
5,41252165,,2,632785,2,翼騎士,212,245,4000,4000,1000,2000,1,1,3,1657903431,5,P90,230122-223831.json,False,False,False,False
5,41253452,,2,433035,4,Janon,179,206,6000,6000,6000,4000,2,20,5,1657916790,5,AK-12,230122-223831.json,False,False,False,False
1,41935940,,2,358271,4,sable,241,205,6000,6000,6000,4000,1,1,3,1657993924,5,AN-94,230123-000447.json,False,False,False,False
3,42326469,,2,489753,6,yms,209,213,8000,8000,1000,4000,2,20,5,1658105162,5,C-MS,230123-000447.json,False,False,False,False
2,41212282,85.0,2,76092,2,AC0630,190,347,8000,9999,8000,9999,1,1,3,1658182230,5,SR-2,221028-125505.json,False,False,False,False
2,41217513,86.0,2,973312,2,Samanda0485,31,194,4000,4000,4000,2000,1,1,3,1658300274,5,K2,221028-125505.json,False,False,False,False
2,41221426,87.0,2,791532,2,月影疾風,66,245,8000,8000,1000,4000,1,1,3,1658401540,5,P90,221028-125505.json,False,False,False,False
5,41276553,,2,986675,2,chiki,64,206,1000,4000,4000,2000,1,1,3,1658410368,5,AK-12,230122-223831.json,False,False,False,False
2,41222391,88.0,2,77662,2,一樹,164,293,4000,4000,4000,2000,1,1,3,1658418640,5,AK-15,221028-125505.json,False,False,False,False
2,41223210,89.0,2,853212,2,寒獄冰暴,84,245,8000,8000,1000,4000,1,1,3,1658444543,5,P90,221028-125505.json,False,False,False,False
2,41223210,,2,853212,2,寒獄冰暴,84,245,8000,8000,1000,4000,1,1,3,1658444543,5,P90,230123-000447.json,False,False,False,False
2,41231385,90.0,2,523322,2,foxheart,51,106,4000,4000,4000,2000,3,50,10,1658644929,5,FAL,221028-125505.json,False,False,False,False
2,41231662,91.0,2,946012,4,卍原豚卍,121,206,6000,6000,6000,4000,1,1,3,1658654495,5,AK-12,221028-125505.json,False,False,False,False
2,41232584,92.0,2,17392,2,時雨緋紅,162,62,1000,4000,4000,2000,1,1,3,1658675138,5,G41,221028-125505.json,False,False,False,False
2,41233614,93.0,2,969772,2,ナブナ死ね,56,215,1000,4000,4000,2000,1,1,3,1658700786,5,MDR,221028-125505.json,False,False,False,False
1,41970363,,2,598721,2,花京院典名,86,293,1000,4000,4000,2000,1,1,3,1658847470,5,AK-15,230123-000447.json,False,False,False,False
2,41245763,94.0,2,790342,2,疏,77,62,1000,4000,4000,2000,1,1,3,1658995443,5,G41,221028-125505.json,False,False,False,False
2,41250235,95.0,2,104222,4,斷翼,188,106,4000,4000,4000,2000,1,1,3,1659103095,5,FAL,221028-125505.json,False,False,False,False
2,41253371,96.0,2,510652,2,好的各位觀眾,152,194,6000,6000,6000,4000,1,1,3,1659182401,5,K2,221028-125505.json,False,False,False,False
2,41254163,97.0,2,870232,4,可愛いミク酱,147,104,4000,4000,1000,2000,1,1,3,1659195741,5,G36C,221028-125505.json,False,False,False,False
2,41258634,98.0,2,970882,4,SamWeng,100,290,1000,4000,4000,2000,1,1,3,1659319820,5,89式自,221028-125505.json,False,False,False,False
2,41259651,99.0,2,510652,4,好的各位觀眾,152,228,6000,6000,6000,4000,1,1,3,1659349641,5,一〇〇式,221028-125505.json,False,False,False,False
2,41259721,100.0,2,444232,2,jackal619,195,215,1000,4000,4000,1000,1,1,3,1659351525,5,MDR,221028-125505.json,False,False,False,False
6,41310934,,2,722316,2,辛耶諾贊,52,215,3000,4000,4000,2000,2,20,5,1659358108,5,MDR,230123-000447.json,False,False,False,False
2,41267134,101.0,2,644932,4,太神啦87,149,172,1000,4000,4000,2000,1,1,3,1659533554,5,RFB,221028-125505.json,False,False,False,False
7,41785976,,2,292627,2,劍與紅茶,83,245,8000,8000,1000,4000,1,1,3,1659778082,5,P90,230123-000447.json,False,False,False,False
1,42008309,,2,986461,2,完全是不懂喔,43,213,4000,4000,1000,2000,1,1,3,1659781339,5,C-MS,230123-000447.json,False,False,False,False
2,41287629,102.0,2,971292,2,古人合法,89,206,4000,4000,4000,2000,1,1,3,1659957387,5,AK-12,221028-125505.json,False,False,False,False
2,41292054,103.0,2,971292,4,古人合法,89,263,8000,8000,1000,4000,1,1,3,1660035498,5,MG36,221028-125505.json,False,False,False,False
1,42025149,,2,191561,2,零弦,187,213,6000,9999,6000,4000,1,1,3,1660141790,5,C-MS,230123-000447.json,False,False,False,False
2,41298216,104.0,2,940722,2,一只松鸦羽,41,172,1000,4000,4000,2000,1,1,3,1660181373,5,RFB,221028-125505.json,False,False,False,False
2,41299638,105.0,2,104222,4,斷翼,188,196,4000,4000,4000,2000,1,1,3,1660206741,5,Zas M21,221028-125505.json,False,False,False,False
2,41301455,106.0,2,411972,2,JeffChen,197,206,6000,4000,6000,1000,1,1,3,1660233816,5,AK-12,221028-125505.json,False,False,False,False
2,41301455,,2,411972,2,JeffChen,197,206,6000,4000,6000,1000,1,1,3,1660233816,5,AK-12,230123-000447.json,False,False,False,False
2,41304602,107.0,2,644932,6,太神啦87,149,243,1000,4000,4000,2000,1,1,3,1660310769,5,64式自,221028-125505.json,False,False,False,False
2,41304604,108.0,2,644932,8,太神啦87,149,62,1000,4000,4000,2000,1,1,3,1660310769,5,G41,221028-125505.json,False,False,False,False
2,41305504,109.0,2,870232,4,可愛いミク酱,147,181,1000,4000,4000,2000,1,1,3,1660319283,5,T91,221028-125505.json,False,False,False,False
7,41816215,,2,41467,6,布良梓,161,245,6000,6000,6000,4000,1,1,3,1660387838,5,P90,230123-000447.json,False,False,False,False
2,41309167,110.0,2,644932,4,太神啦87,149,64,1000,4000,4000,2000,1,1,3,1660401683,4,G36,221028-125505.json,False,False,False,False
2,41309168,111.0,2,644932,6,太神啦87,149,130,1000,4000,4000,2000,1,1,3,1660401683,5,97式,221028-125505.json,False,False,False,False
2,41312761,112.0,2,637762,2,Honp,123,135,6000,4000,6000,4000,1,1,3,1660480812,5,SR-3MP,221028-125505.json,False,False,False,False
8,41898303,,2,450498,2,忒爾,194,125,8000,8000,1000,4000,1,1,3,1660521608,5,MG4,230123-000447.json,False,False,False,False
2,41315438,113.0,2,853612,2,卍看三小卍,143,172,1000,4000,4000,2000,1,1,3,1660540501,5,RFB,221028-125505.json,False,False,False,False
8,41899993,,2,215698,4,Sanke,150,125,8000,9000,7000,4000,1,1,3,1660563858,5,MG4,230123-000447.json,False,False,False,False
2,41318824,114.0,2,278302,2,無能的海參,161,263,8000,8000,8000,4000,1,1,3,1660607699,5,MG36,221028-125505.json,False,False,False,False
2,41320439,115.0,2,970752,2,三姆達,83,215,4000,4000,4000,2000,1,1,3,1660648147,5,MDR,221028-125505.json,False,False,False,False
2,41323510,116.0,2,960662,4,plasticfoodz,18,293,1000,4000,4000,2000,1,1,3,1660714074,5,AK-15,221028-125505.json,False,False,False,False
1,42051810,,2,612731,2,雪之,176,213,4000,4000,1000,2000,2,20,5,1660723900,5,C-MS,230123-000447.json,False,False,False,False
2,41324583,117.0,2,875932,4,MikazukiAgus,75,290,1000,4000,4000,2000,1,1,3,1660738933,5,89式自,221028-125505.json,False,False,False,False
5,41382017,,2,31475,8,Gree,143,245,4000,6000,4000,6000,1,1,3,1660742288,5,P90,230122-223831.json,False,False,False,False
2,41326092,118.0,2,989562,2,花Q花Q,33,236,1000,4000,4000,2000,1,1,3,1660767511,5,K11,221028-125505.json,False,False,False,False
2,41326209,119.0,2,399282,2,一萬,141,306,6000,6000,6000,6000,1,1,3,1660775267,5,AK-Alfa,221028-125505.json,False,False,False,False
2,41328179,120.0,2,277812,2,帕拉蒂斯,144,172,6000,6000,6000,4000,1,1,3,1660805652,5,RFB,221028-125505.json,False,False,False,False
7,41837199,,2,7457,2,alenj,155,245,4000,4000,4000,2000,1,1,3,1660809737,5,P90,230123-000447.json,False,False,False,False
3,42457764,,2,366583,4,ccchan,85,245,8000,8000,1000,4000,1,1,3,1660832963,5,P90,230123-000447.json,False,False,False,False
2,41333320,121.0,2,844822,4,雪楓夜,86,245,8000,8000,1000,4000,1,1,3,1660894110,5,P90,221028-125505.json,False,False,False,False
2,41333320,,2,844822,4,雪楓夜,86,245,8000,8000,1000,4000,1,1,3,1660894110,5,P90,230123-000447.json,False,False,False,False
0,41601705,,2,96160,4,TheGrandTour,165,213,6000,4111,6000,4000,1,1,3,1660897888,5,C-MS,230123-000447.json,False,False,False,False
2,41334292,122.0,2,38762,4,Galdisom,162,121,8000,8000,8000,4000,1,1,3,1660912471,4,Mk48,221028-125505.json,False,False,False,False
2,41334834,123.0,2,380542,2,本壘版,204,121,6000,6000,6000,4000,2,20,5,1660917299,4,Mk48,221028-125505.json,False,False,False,False
2,41335586,124.0,2,290382,2,GSW,184,196,1000,4000,4000,2000,2,20,5,1660924455,5,Zas M21,221028-125505.json,False,False,False,False
2,41335589,125.0,2,290382,6,GSW,184,215,1000,4000,4000,2000,2,20,5,1660924455,5,MDR,221028-125505.json,False,False,False,False
2,41337296,126.0,2,779942,4,煌玉信,83,290,4000,4000,4000,2000,2,20,5,1660960001,5,89式自,221028-125505.json,False,False,False,False
2,41341480,127.0,2,757592,2,莉姆露魔王,168,173,8000,8000,1000,4000,3,50,10,1661018593,5,PKP,221028-125505.json,False,False,False,False
7,41850752,,2,38257,2,Thomaspan,127,293,1000,4000,4000,2000,1,1,3,1661029813,5,AK-15,230123-000447.json,False,False,False,False
2,41342711,128.0,2,853612,2,卍看三小卍,144,64,1000,4000,4000,2000,1,1,3,1661048539,4,G36,221028-125505.json,False,False,False,False
2,41343486,129.0,2,104222,2,斷翼,188,293,1000,4000,4000,2000,1,1,3,1661064269,5,AK-15,221028-125505.json,False,False,False,False
5,41402028,,2,731685,4,绝对幻象,116,245,5112,4101,1200,1200,1,1,3,1661073129,5,P90,230122-223831.json,False,False,False,False
2,41344777,130.0,2,779942,2,煌玉信,83,307,8000,8000,1000,4000,1,1,3,1661086932,5,ZB-26,221028-125505.json,False,False,False,False
2,41344790,131.0,2,779942,2,煌玉信,83,307,8000,8000,1000,4000,1,1,3,1661087052,5,ZB-26,221028-125505.json,False,False,False,False
2,41344865,132.0,2,104222,2,斷翼,188,172,1000,4000,4000,2000,1,1,3,1661087157,5,RFB,221028-125505.json,False,False,False,False
5,41404076,,2,537935,2,基爾加丹,143,245,4000,4000,1000,2000,2,20,5,1661095663,5,P90,230122-223831.json,False,False,False,False
2,41348128,133.0,2,51672,4,YuxunA,169,287,1000,4000,4000,2000,1,1,3,1661141921,5,SIG-556,221028-125505.json,False,False,False,False
2,41348300,134.0,2,117432,4,夜独醉,175,243,1000,4000,4000,2000,1,1,3,1661144282,5,64式自,221028-125505.json,False,False,False,False
2,41349053,135.0,2,712942,4,lofs,139,263,8000,8000,1000,4000,1,1,3,1661160957,5,MG36,221028-125505.json,False,False,False,False
2,41349232,136.0,2,104222,4,斷翼,188,171,1000,4000,4000,2000,1,1,3,1661163634,4,利貝羅勒,221028-125505.json,False,False,False,False
3,42479333,,2,195073,2,霜月悠,165,290,1000,4000,4000,2000,1,1,3,1661166706,5,89式自,230123-000447.json,False,False,False,False
2,41350294,137.0,2,844182,4,不再存在,138,243,1000,4040,4040,2000,1,1,3,1661174462,5,64式自,221028-125505.json,False,False,False,False
7,41860072,,2,770317,4,tommy404,118,293,4000,4000,4000,2000,1,1,3,1661179858,5,AK-15,230123-000447.json,False,False,False,False
7,41860415,,2,827137,2,Xenobeta,96,293,4000,4000,4000,2000,1,1,3,1661181424,5,AK-15,230123-000447.json,False,False,False,False
2,41351094,138.0,2,438882,2,Phantom夜風x,188,263,8000,8000,1000,4000,2,20,5,1661181606,5,MG36,221028-125505.json,False,False,False,False
2,41352254,139.0,2,853612,2,卍看三小卍,144,62,1000,4000,4000,2000,1,1,3,1661199505,5,G41,221028-125505.json,False,False,False,False
2,41352539,140.0,2,51672,2,YuxunA,169,130,1000,4000,4000,2000,1,1,3,1661209901,5,97式,221028-125505.json,False,False,False,False
2,41353613,141.0,2,970752,2,三姆達,84,130,4000,4000,4000,2000,1,1,3,1661229194,5,97式,221028-125505.json,False,False,False,False
2,41353891,142.0,2,712942,2,lofs,139,173,8000,8000,1000,4000,1,1,3,1661236415,5,PKP,221028-125505.json,False,False,False,False
2,41353897,143.0,2,278302,2,無能的海參,161,205,6000,6000,6000,4000,2,20,5,1661236417,5,AN-94,221028-125505.json,False,False,False,False
2,41353995,144.0,2,208052,2,咖亞,126,115,4000,4000,1000,2000,1,1,3,1661238395,5,索米,221028-125505.json,False,False,False,False
