id,dev_type,user_id,build_slot,dev_uname,dev_lv,gun_id,mp,ammo,mre,part,input_level,item1_num,core,dev_time,gun_rank,gun_name,file,trust_2,trust_3,trust_4,trust_5
41072042,2,93132,6,凱薩奧古斯都,99,228,4000,4000,1000,2000,2,20,5,1655130812,5,樱花,221028-125505.json,False,False,False,False
41072698,2,380212,2,Axiie,102,129,1000,4000,4000,2000,1,1,3,1655137511,5,95式,221028-125505.json,False,False,False,False
41073584,2,967482,2,不破爱花,41,213,4000,4000,1000,2000,1,1,3,1655163947,5,C-MS,221028-125505.json,False,False,False,False
41078523,2,79112,6,kyomkII,100,62,1000,4000,4000,2000,1,1,3,1655267169,5,G41,221028-125505.json,False,False,False,False
41090312,2,954792,2,壞掉的茶葉蛋,95,129,1000,4000,4000,2000,3,50,10,1655504955,5,95式,221028-125505.json,False,False,False,False
41090313,2,954792,4,壞掉的茶葉蛋,95,181,1000,4000,4000,2000,3,50,10,1655504955,5,T91,221028-125505.json,False,False,False,False
41092404,2,104222,2,斷翼,187,62,4000,4000,4000,2000,1,1,3,1655550802,5,G41,221028-125505.json,False,False,False,False
41092405,2,104222,4,斷翼,187,293,4000,4000,4000,2000,1,1,3,1655550802,5,AK-15,221028-125505.json,False,False,False,False
41097885,2,119862,4,影风,169,290,1000,4000,4000,2000,1,1,3,1655656906,5,89式自,221028-125505.json,False,False,False,False
41098442,2,974732,2,MGRD,75,287,1000,4000,4000,2000,1,1,3,1655674120,5,SIG-556,221028-125505.json,False,False,False,False
41100503,2,968522,2,鳶一凜,76,228,8000,8000,1000,4000,1,1,3,1655721144,5,樱花,221028-125505.json,False,False,False,False
41100649,2,954792,2,壞掉的茶葉蛋,96,129,1000,4000,4000,2000,3,50,10,1655723836,5,95式,221028-125505.json,False,False,False,False
41101637,2,6592,2,頃靜,186,287,1000,4000,4000,2000,1,1,3,1655738201,5,SIG-556,221028-125505.json,False,False,False,False
41101835,2,971002,2,黎明之夏,84,287,1000,4000,4000,2000,1,1,3,1655739790,5,SIG-556,221028-125505.json,False,False,False,False
41109335,2,979062,2,shkfk,33,135,4000,4000,1000,2000,1,1,3,1655903183,5,SR-3MP,221028-125505.json,False,False,False,False
41110063,2,870232,2,可愛いミク酱,147,306,1000,4000,4000,2000,2,20,5,1655911780,5,AK-阿尔法,221028-125505.json,False,False,False,False
41122473,2,938942,2,Shirin,76,106,1000,4000,4000,2000,1,1,3,1656178268,5,FAL,221028-125505.json,False,False,False,False
41123490,2,104222,2,斷翼,187,228,8000,8000,1000,4000,1,1,3,1656211083,5,樱花,221028-125505.json,False,False,False,False
41124250,2,955042,4,行人刃,80,287,1000,4000,4000,2000,1,1,3,1656228030,5,SIG-556,221028-125505.json,False,False,False,False
41124283,2,285852,2,楓草貓,168,290,4000,4000,4000,2000,1,1,3,1656228964,5,89式自,221028-125505.json,False,False,False,False
41126244,2,962132,2,天天玩槍槍,94,172,1000,4000,4000,2000,2,20,5,1656264052,5,RFB,221028-125505.json,False,False,False,False
41128458,2,9652,4,霜楓釉玥,88,205,1000,4000,4000,5000,1,1,3,1656319107,5,AN-94,221028-125505.json,False,False,False,False
41132310,2,300752,4,夜鈴貓,193,62,6000,6000,6000,4000,1,1,3,1656404322,5,G41,221028-125505.json,False,False,False,False
41133205,2,161352,4,奧斯裕太,61,306,6000,6000,6000,4000,1,1,3,1656424014,5,AK-阿尔法,221028-125505.json,False,False,False,False
41135292,2,870232,4,可愛いミク酱,147,129,1000,4000,4000,2000,2,20,5,1656470125,5,95式,221028-125505.json,False,False,False,False
41146127,2,887822,4,guh563,81,228,8000,8000,1000,4000,1,1,3,1656723074,5,樱花,221028-125505.json,False,False,False,False
41146463,2,285852,2,楓草貓,168,213,9999,4000,4000,2000,1,1,3,1656731672,5,C-MS,221028-125505.json,False,False,False,False
41147934,2,887822,4,guh563,82,245,4000,4000,1000,2000,1,1,3,1656765401,5,P90,221028-125505.json,False,False,False,False
41150771,2,969652,2,天梦羽洛,62,130,1000,4000,4000,2000,1,1,3,1656831309,5,97式,221028-125505.json,False,False,False,False
41151241,2,887822,2,guh563,82,228,4000,4000,1000,2000,1,1,3,1656843317,5,樱花,221028-125505.json,False,False,False,False
41155454,2,954792,4,壞掉的茶葉蛋,99,287,1000,4000,4000,2000,1,1,3,1656938704,5,SIG-556,221028-125505.json,False,False,False,False
41157170,2,296682,4,無噬魂,124,347,4000,7000,2000,1000,1,1,3,1656972903,5,SR-2,221028-125505.json,False,False,False,False
41160398,2,300752,2,夜鈴貓,193,135,4000,4000,1000,2000,1,1,3,1657042479,5,SR-3MP,221028-125505.json,False,False,False,False
41165181,2,887822,2,guh563,82,228,4000,4000,1000,2000,1,1,3,1657166115,5,樱花,221028-125505.json,False,False,False,False
41169455,2,979952,2,Autokrator,79,347,9999,9000,9000,9999,1,1,3,1657272786,5,SR-2,221028-125505.json,False,False,False,False
41174841,2,947052,2,AdmiralBorg,89,245,4000,4000,1000,2000,1,1,3,1657382529,5,P90,221028-125505.json,False,False,False,False
41177908,2,223332,2,jjkang,118,28,4000,4000,1000,2000,1,1,3,1657460112,5,MP7,221028-125505.json,False,False,False,False
41181749,2,379932,2,優理,90,104,8000,4000,2000,1000,1,1,3,1657547013,5,G36C,221028-125505.json,False,False,False,False
41185448,2,379932,4,優理,90,245,4000,4000,1000,2000,1,1,3,1657635007,5,P90,221028-125505.json,False,False,False,False
41188734,2,760652,2,C十C二CC,108,290,1000,4000,4000,2000,1,1,3,1657718540,5,89式自,221028-125505.json,False,False,False,False
41190864,2,969292,4,1SmSsTkqueen,83,287,1000,4000,4000,2000,1,1,3,1657768296,5,SIG-556,221028-125505.json,False,False,False,False
41192045,2,310432,2,Cerlic,105,205,4000,4000,4000,2000,1,1,3,1657803209,5,AN-94,221028-125505.json,False,False,False,False
41194770,2,446602,8,ArV,195,125,6000,6000,6000,4000,1,1,3,1657864576,5,MG4,221028-125505.json,False,False,False,False
41195932,2,489832,2,上田百合子,156,181,4000,4000,4000,4000,1,1,3,1657890579,5,T91,221028-125505.json,False,False,False,False
41197315,2,492932,4,痛覚残留,192,245,9999,9999,9999,9999,3,50,10,1657901445,5,P90,221028-125505.json,False,False,False,False
41197826,2,76092,4,AC0630,190,135,8000,8000,8000,4000,3,50,10,1657902889,5,SR-3MP,221028-125505.json,False,False,False,False
41212282,2,76092,2,AC0630,190,347,8000,9999,8000,9999,1,1,3,1658182230,5,SR-2,221028-125505.json,False,False,False,False
41217513,2,973312,2,Samanda0485,31,194,4000,4000,4000,2000,1,1,3,1658300274,5,K2,221028-125505.json,False,False,False,False
41221426,2,791532,2,月影疾風,66,245,8000,8000,1000,4000,1,1,3,1658401540,5,P90,221028-125505.json,False,False,False,False
41222391,2,77662,2,一樹,164,293,4000,4000,4000,2000,1,1,3,1658418640,5,AK-15,221028-125505.json,False,False,False,False
41223210,2,853212,2,寒獄冰暴,84,245,8000,8000,1000,4000,1,1,3,1658444543,5,P90,221028-125505.json,False,False,False,False
41231385,2,523322,2,foxheart,51,106,4000,4000,4000,2000,3,50,10,1658644929,5,FAL,221028-125505.json,False,False,False,False
41231662,2,946012,4,卍原豚卍,121,206,6000,6000,6000,4000,1,1,3,1658654495,5,AK-12,221028-125505.json,False,False,False,False
41232584,2,17392,2,時雨緋紅,162,62,1000,4000,4000,2000,1,1,3,1658675138,5,G41,221028-125505.json,False,False,False,False
41233614,2,969772,2,ナブナ死ね,56,215,1000,4000,4000,2000,1,1,3,1658700786,5,MDR,221028-125505.json,False,False,False,False
41245763,2,790342,2,疏,77,62,1000,4000,4000,2000,1,1,3,1658995443,5,G41,221028-125505.json,False,False,False,False
41250235,2,104222,4,斷翼,188,106,4000,4000,4000,2000,1,1,3,1659103095,5,FAL,221028-125505.json,False,False,False,False
41253371,2,510652,2,好的各位觀眾,152,194,6000,6000,6000,4000,1,1,3,1659182401,5,K2,221028-125505.json,False,False,False,False
41254163,2,870232,4,可愛いミク酱,147,104,4000,4000,1000,2000,1,1,3,1659195741,5,G36C,221028-125505.json,False,False,False,False
41258634,2,970882,4,SamWeng,100,290,1000,4000,4000,2000,1,1,3,1659319820,5,89式自,221028-125505.json,False,False,False,False
41259651,2,510652,4,好的各位觀眾,152,228,6000,6000,6000,4000,1,1,3,1659349641,5,樱花,221028-125505.json,False,False,False,False
41259721,2,444232,2,jackal619,195,215,1000,4000,4000,1000,1,1,3,1659351525,5,MDR,221028-125505.json,False,False,False,False
41267134,2,644932,4,太神啦87,149,172,1000,4000,4000,2000,1,1,3,1659533554,5,RFB,221028-125505.json,False,False,False,False
41287629,2,971292,2,古人合法,89,206,4000,4000,4000,2000,1,1,3,1659957387,5,AK-12,221028-125505.json,False,False,False,False
41292054,2,971292,4,古人合法,89,263,8000,8000,1000,4000,1,1,3,1660035498,5,MG36,221028-125505.json,False,False,False,False
41298216,2,940722,2,一只松鸦羽,41,172,1000,4000,4000,2000,1,1,3,1660181373,5,RFB,221028-125505.json,False,False,False,False
41299638,2,104222,4,斷翼,188,196,4000,4000,4000,2000,1,1,3,1660206741,5,Zas M21,221028-125505.json,False,False,False,False
41301455,2,411972,2,JeffChen,197,206,6000,4000,6000,1000,1,1,3,1660233816,5,AK-12,221028-125505.json,False,False,False,False
41304602,2,644932,6,太神啦87,149,243,1000,4000,4000,2000,1,1,3,1660310769,5,64式自,221028-125505.json,False,False,False,False
41304604,2,644932,8,太神啦87,149,62,1000,4000,4000,2000,1,1,3,1660310769,5,G41,221028-125505.json,False,False,False,False
41305504,2,870232,4,可愛いミク酱,147,181,1000,4000,4000,2000,1,1,3,1660319283,5,T91,221028-125505.json,False,False,False,False
41309167,2,644932,4,太神啦87,149,64,1000,4000,4000,2000,1,1,3,1660401683,4,G36,221028-125505.json,False,False,False,False
41309168,2,644932,6,太神啦87,149,130,1000,4000,4000,2000,1,1,3,1660401683,5,97式,221028-125505.json,False,False,False,False
41312761,2,637762,2,Honp,123,135,6000,4000,6000,4000,1,1,3,1660480812,5,SR-3MP,221028-125505.json,False,False,False,False
41315438,2,853612,2,卍看三小卍,143,172,1000,4000,4000,2000,1,1,3,1660540501,5,RFB,221028-125505.json,False,False,False,False
41318824,2,278302,2,無能的海參,161,263,8000,8000,8000,4000,1,1,3,1660607699,5,MG36,221028-125505.json,False,False,False,False
41320439,2,970752,2,三姆達,83,215,4000,4000,4000,2000,1,1,3,1660648147,5,MDR,221028-125505.json,False,False,False,False
41323510,2,960662,4,plasticfoodz,18,293,1000,4000,4000,2000,1,1,3,1660714074,5,AK-15,221028-125505.json,False,False,False,False
41324583,2,875932,4,MikazukiAgus,75,290,1000,4000,4000,2000,1,1,3,1660738933,5,89式自,221028-125505.json,False,False,False,False
41326092,2,989562,2,花Q花Q,33,236,1000,4000,4000,2000,1,1,3,1660767511,5,K11,221028-125505.json,False,False,False,False
41326209,2,399282,2,一萬,141,306,6000,6000,6000,6000,1,1,3,1660775267,5,AK-阿尔法,221028-125505.json,False,False,False,False
41328179,2,277812,2,帕拉蒂斯,144,172,6000,6000,6000,4000,1,1,3,1660805652,5,RFB,221028-125505.json,False,False,False,False
41333320,2,844822,4,雪楓夜,86,245,8000,8000,1000,4000,1,1,3,1660894110,5,P90,221028-125505.json,False,False,False,False
41334292,2,38762,4,Galdisom,162,121,8000,8000,8000,4000,1,1,3,1660912471,4,Mk48,221028-125505.json,False,False,False,False
41334834,2,380542,2,本壘版,204,121,6000,6000,6000,4000,2,20,5,1660917299,4,Mk48,221028-125505.json,False,False,False,False
41335586,2,290382,2,GSW,184,196,1000,4000,4000,2000,2,20,5,1660924455,5,Zas M21,221028-125505.json,False,False,False,False
41335589,2,290382,6,GSW,184,215,1000,4000,4000,2000,2,20,5,1660924455,5,MDR,221028-125505.json,False,False,False,False
41337296,2,779942,4,煌玉信,83,290,4000,4000,4000,2000,2,20,5,1660960001,5,89式自,221028-125505.json,False,False,False,False
41341480,2,757592,2,莉姆露魔王,168,173,8000,8000,1000,4000,3,50,10,1661018593,5,PKP,221028-125505.json,False,False,False,False
41342711,2,853612,2,卍看三小卍,144,64,1000,4000,4000,2000,1,1,3,1661048539,4,G36,221028-125505.json,False,False,False,False
41343486,2,104222,2,斷翼,188,293,1000,4000,4000,2000,1,1,3,1661064269,5,AK-15,221028-125505.json,False,False,False,False
41344777,2,779942,2,煌玉信,83,307,8000,8000,1000,4000,1,1,3,1661086932,5,ZB-26,221028-125505.json,False,False,False,False
41344790,2,779942,2,煌玉信,83,307,8000,8000,1000,4000,1,1,3,1661087052,5,ZB-26,221028-125505.json,False,False,False,False
41344865,2,104222,2,斷翼,188,172,1000,4000,4000,2000,1,1,3,1661087157,5,RFB,221028-125505.json,False,False,False,False
41348128,2,51672,4,YuxunA,169,287,1000,4000,4000,2000,1,1,3,1661141921,5,SIG-556,221028-125505.json,False,False,False,False
41348300,2,117432,4,夜独醉,175,243,1000,4000,4000,2000,1,1,3,1661144282,5,64式自,221028-125505.json,False,False,False,False
41349053,2,712942,4,lofs,139,263,8000,8000,1000,4000,1,1,3,1661160957,5,MG36,221028-125505.json,False,False,False,False
41349232,2,104222,4,斷翼,188,171,1000,4000,4000,2000,1,1,3,1661163634,4,利贝罗勒,221028-125505.json,False,False,False,False
41350294,2,844182,4,不再存在,138,243,1000,4040,4040,2000,1,1,3,1661174462,5,64式自,221028-125505.json,False,False,False,False
41351094,2,438882,2,Phantom夜風x,188,263,8000,8000,1000,4000,2,20,5,1661181606,5,MG36,221028-125505.json,False,False,False,False
41352254,2,853612,2,卍看三小卍,144,62,1000,4000,4000,2000,1,1,3,1661199505,5,G41,221028-125505.json,False,False,False,False
41352539,2,51672,2,YuxunA,169,130,1000,4000,4000,2000,1,1,3,1661209901,5,97式,221028-125505.json,False,False,False,False
41353613,2,970752,2,三姆達,84,130,4000,4000,4000,2000,1,1,3,1661229194,5,97式,221028-125505.json,False,False,False,False
41353891,2,712942,2,lofs,139,173,8000,8000,1000,4000,1,1,3,1661236415,5,PKP,221028-125505.json,False,False,False,False
41353897,2,278302,2,無能的海參,161,205,6000,6000,6000,4000,2,20,5,1661236417,5,AN-94,221028-125505.json,False,False,False,False
41353995,2,208052,2,咖亞,126,115,4000,4000,1000,2000,1,1,3,1661238395,5,索米,221028-125505.json,False,False,False,False
41354642,2,242,2,Eichel,177,115,4000,4000,4000,4000,1,1,3,1661252571,5,索米,221028-125505.json,False,False,False,False
41355312,2,379932,2,優理,90,215,1000,4040,4040,2000,1,1,3,1661262226,5,MDR,221028-125505.json,False,False,False,False
41355497,2,479822,2,YCYeh,126,109,8000,8000,1000,4000,2,20,5,1661263937,5,MG5,221028-125505.json,False,False,False,False
41355498,2,479822,4,YCYeh,126,121,8000,8000,1000,4000,2,20,5,1661263937,4,Mk48,221028-125505.json,False,False,False,False
41356203,2,804282,2,谢神樂988,74,173,6000,6000,6000,4000,1,1,3,1661270533,5,PKP,221028-125505.json,False,False,False,False
41358182,2,853612,2,卍看三小卍,144,194,1000,4000,4000,2000,1,1,3,1661307898,5,K2,221028-125505.json,False,False,False,False
41359503,2,764002,2,z佐,160,347,8000,8000,1000,4000,2,20,5,1661337283,5,SR-2,221028-125505.json,False,False,False,False
41359820,2,956782,2,R93娇喘好美,100,135,4000,4000,1000,2000,1,1,3,1661339566,5,SR-3MP,221028-125505.json,False,False,False,False
41360807,2,302102,4,天瞑,144,307,8000,8000,1000,4000,1,1,3,1661351661,5,ZB-26,221028-125505.json,False,False,False,False
41360808,2,302102,2,天瞑,144,173,8000,8000,1000,4000,1,1,3,1661351686,5,PKP,221028-125505.json,False,False,False,False
41361732,2,979952,2,Autokrator,85,129,1000,4000,4000,2000,1,1,3,1661357005,5,95式,221028-125505.json,False,False,False,False
41365019,2,547302,2,holybigbird,164,115,8000,8000,1000,4000,1,1,3,1661421251,5,索米,221028-125505.json,False,False,False,False
41365115,2,547302,2,holybigbird,164,205,1000,4000,4000,2000,3,50,10,1661421482,5,AN-94,221028-125505.json,False,False,False,False
41365879,2,465162,2,尊天天,202,243,6000,6000,6000,4000,1,1,3,1661432642,5,64式自,221028-125505.json,False,False,False,False
41365887,2,465162,2,尊天天,202,307,6000,6000,6000,4000,1,1,3,1661432650,5,ZB-26,221028-125505.json,False,False,False,False
41366865,2,479822,4,YCYeh,126,214,1000,4000,4000,2000,1,1,3,1661440531,5,ADS,221028-125505.json,False,False,False,False
41367013,2,243752,2,取個ID好難喔,215,293,6000,6000,6000,4000,3,50,10,1661441454,5,AK-15,221028-125505.json,False,False,False,False
41367050,2,4262,2,杉上隆司,136,172,1000,4000,4000,2000,3,50,10,1661441787,5,RFB,221028-125505.json,False,False,False,False
41367626,2,637762,2,Honp,123,72,6000,4000,6000,4000,1,1,3,1661445228,4,TAR-21,221028-125505.json,False,False,False,False
41370529,2,33152,4,氣到不行,148,109,6000,6000,6000,4000,1,1,3,1661514680,5,MG5,221028-125505.json,False,False,False,False
41371592,2,479822,2,YCYeh,126,72,1000,4000,4000,2000,2,20,5,1661528168,4,TAR-21,221028-125505.json,False,False,False,False
41373077,2,893042,2,吴晋辉,126,130,1000,9999,9999,9000,1,1,3,1661566587,5,97式,221028-125505.json,False,False,False,False
41374573,2,108682,2,patrick,163,125,7000,8000,7000,4000,2,20,5,1661605018,5,MG4,221028-125505.json,False,False,False,False
41375075,2,226672,4,BanditMP7,47,347,4000,4000,1000,2000,1,1,3,1661613314,5,SR-2,221028-125505.json,False,False,False,False
41375171,2,438882,2,Phantom夜風x,188,106,1000,4000,4000,2000,2,20,5,1661614381,5,FAL,221028-125505.json,False,False,False,False
41376493,2,875932,4,MikazukiAgus,77,215,1000,4000,4000,2000,1,1,3,1661653338,5,MDR,221028-125505.json,False,False,False,False
41377140,2,416792,4,YKTseng,169,263,6000,6000,6000,4000,1,1,3,1661670533,5,MG36,221028-125505.json,False,False,False,False
41377141,2,416792,6,YKTseng,169,213,6000,6000,6000,4000,1,1,3,1661670533,5,C-MS,221028-125505.json,False,False,False,False
41377461,2,940852,2,諸葛雲遙,110,214,6000,6000,6000,4000,1,1,3,1661677816,5,ADS,221028-125505.json,False,False,False,False
41377695,2,875932,2,MikazukiAgus,77,130,1000,4000,4000,2000,1,1,3,1661684196,5,97式,221028-125505.json,False,False,False,False
41380492,2,637762,2,Honp,123,313,6000,4000,6000,4000,1,1,3,1661752954,5,S-ACR,221028-125505.json,False,False,False,False
41380575,2,983862,2,Wakarimas,38,129,1000,4000,4000,2000,1,1,3,1661754525,5,95式,221028-125505.json,False,False,False,False
41380884,2,365942,2,ShuJater,210,215,6000,4000,6000,4000,1,1,3,1661765585,5,MDR,221028-125505.json,False,False,False,False
41380901,2,442162,2,快閃,196,127,5000,5000,1000,1000,1,1,3,1661765970,5,79式,221028-125505.json,False,False,False,False
41382862,2,7152,2,Rattlesnake0,105,263,8000,8000,1000,4000,1,1,3,1661809280,5,MG36,221028-125505.json,False,False,False,False
41383096,2,941432,2,「煙緋」,78,347,4000,4000,1000,2000,1,1,3,1661816559,5,SR-2,221028-125505.json,False,False,False,False
41383149,2,59782,4,銀夙,190,72,6000,6000,6000,4000,2,20,5,1661817995,4,TAR-21,221028-125505.json,False,False,False,False
41384929,2,104222,2,斷翼,189,243,1000,4000,4000,2000,1,1,3,1661868085,5,64式自,221028-125505.json,False,False,False,False
41386107,2,968212,2,李家鋐,43,347,4000,4000,1000,2000,1,1,3,1661898265,5,SR-2,221028-125505.json,False,False,False,False
41389197,2,76092,4,AC0630,191,125,8000,9999,8000,4000,1,1,3,1661983269,5,MG4,221028-125505.json,False,False,False,False
41390817,2,971002,2,黎明之夏,91,206,1000,4000,4000,2000,1,1,3,1662029052,5,AK-12,221028-125505.json,False,False,False,False
41393165,2,10292,6,唯冰,81,130,1000,4000,4000,2000,1,1,3,1662091921,5,97式,221028-125505.json,False,False,False,False
41393694,2,637762,2,Honp,124,115,6000,4000,6000,4000,2,20,5,1662107790,5,索米,221028-125505.json,False,False,False,False
41394054,2,724362,2,貓咪打電腦,157,181,6000,6000,6000,4000,1,1,3,1662121075,5,T91,221028-125505.json,False,False,False,False
41396098,2,893042,2,吴晋辉,126,72,2999,9999,9999,9999,1,1,3,1662173256,4,TAR-21,221028-125505.json,False,False,False,False
41396973,2,3392,4,Jrunne,123,171,6000,6000,6000,4000,1,1,3,1662197858,4,利贝罗勒,221028-125505.json,False,False,False,False
41402272,2,914202,2,宇文凉,147,64,1000,4000,4000,2000,1,1,3,1662331841,4,G36,221028-125505.json,False,False,False,False
41403433,2,465162,2,尊天天,202,173,6000,6000,6000,4000,1,1,3,1662359710,5,PKP,221028-125505.json,False,False,False,False
41403716,2,887822,2,guh563,84,127,8000,8000,1000,4000,1,1,3,1662371975,5,79式,221028-125505.json,False,False,False,False
41405723,2,954532,2,摆哼,72,109,8000,8000,1000,4000,1,1,3,1662419172,5,MG5,221028-125505.json,False,False,False,False
41406936,2,489832,4,上田百合子,158,194,1000,4000,4000,2000,1,1,3,1662453563,5,K2,221028-125505.json,False,False,False,False
41406937,2,489832,6,上田百合子,158,243,1000,4000,4000,2000,1,1,3,1662453563,5,64式自,221028-125505.json,False,False,False,False
41408262,2,385132,2,索妮亞,106,28,6000,6000,6000,4000,1,1,3,1662479060,5,MP7,221028-125505.json,False,False,False,False
41409261,2,278302,4,無能的海參,161,214,6000,6000,6000,1000,1,1,3,1662512086,5,ADS,221028-125505.json,False,False,False,False
41409904,2,977032,4,泠汐,41,213,4000,4000,1000,2000,1,1,3,1662531554,5,C-MS,221028-125505.json,False,False,False,False
41410241,2,980002,2,九尾skr菲,82,127,4000,4000,1000,2000,1,1,3,1662544556,5,79式,221028-125505.json,False,False,False,False
41410318,2,178122,4,CBC,68,243,1000,4000,4000,2000,1,1,3,1662546003,5,64式自,221028-125505.json,False,False,False,False
41412646,2,178122,2,CBC,68,196,1000,4000,4000,2000,1,1,3,1662601891,5,Zas M21,221028-125505.json,False,False,False,False
41412647,2,178122,4,CBC,68,313,1000,4000,4000,2000,1,1,3,1662601896,5,S-ACR,221028-125505.json,False,False,False,False
41412927,2,914202,2,宇文凉,147,293,1000,4000,4000,2000,1,1,3,1662610600,5,AK-15,221028-125505.json,False,False,False,False
41416055,2,940852,2,諸葛雲遙,111,23,6000,6000,6000,4000,1,1,3,1662687286,4,PP-90,221028-125505.json,False,False,False,False
